successes,iteration_mean,iteration_std,reward_episode_mean,reward_episode_std,episode_count_mean,episode_count_std,random_act_mean,random_act_std,timestep_mean,timestep_std,epsilon_mean,epsilon_std
14140,101.0,0.0,202.0,0.0,140.0,0.0,7682.8,52.670463998125015,6457.2,52.670463998125015,0.2565845515853515,0.0
14241,101.0,0.0,202.0,0.0,141.0,0.0,7706.7,48.410398332038724,6534.3,48.410398332038724,0.2541309943021904,0.0
14342,101.0,0.0,202.0,0.0,142.0,0.0,7731.1,46.548540972480204,6610.9,46.548540972480204,0.2517018503219027,0.0
14443,101.0,0.0,202.0,0.0,143.0,0.0,7758.4,47.605321831352846,6684.6,47.605321831352846,0.24929687672806597,0.0
14544,101.0,0.0,202.0,0.0,144.0,0.0,7783.7,45.31139174889929,6760.3,45.31139174889929,0.24691583302131698,0.0
14645,101.0,0.0,202.0,0.0,145.0,0.0,7810.2,44.41921506135228,6834.8,44.41921506135228,0.24455848109530048,0.0
14746,101.0,0.0,202.0,0.0,146.0,0.0,7835.2,45.84951229596435,6910.8,45.84951229596435,0.24222458521285967,0.0
14847,101.0,0.0,202.0,0.0,147.0,0.0,7860.0,46.08205242342784,6987.0,46.08205242342784,0.2399139119824612,0.0
14948,101.0,0.0,202.0,0.0,148.0,0.0,7885.5,47.61710710331826,7062.5,47.61710710331826,0.23762623033485658,0.0
15049,101.0,0.0,202.0,0.0,149.0,0.0,7909.5,47.82200795077974,7139.5,47.82200795077974,0.23536131149997458,0.0
15150,101.0,0.0,202.0,0.0,150.0,0.0,7931.1,50.00099999000026,7218.9,50.00099999000026,0.2331189289840443,0.0
15251,101.0,0.0,202.0,0.0,151.0,0.0,7956.0,49.31080566727286,7295.0,49.31080566727286,0.2308988585469455,0.0
15352,101.0,0.0,202.0,0.0,152.0,0.0,7979.3,48.862732902148096,7372.7,48.862732902148096,0.2287008781797844,0.0
15453,101.0,0.0,202.0,0.0,153.0,0.0,8002.1,49.32984221881658,7450.9,49.32984221881658,0.2265247680826926,0.0
15554,101.0,0.0,202.0,0.0,154.0,0.0,8024.7,49.3897200280022,7529.3,49.3897200280022,0.22437031064284702,0.0
15655,101.0,0.0,202.0,0.0,155.0,0.0,8045.9,47.0967090145373,7609.1,47.0967090145373,0.22223729041270807,0.0
15756,101.0,0.0,202.0,0.0,156.0,0.0,8068.3,44.83562571586725,7687.7,44.83562571586725,0.2201254940884756,0.0
15857,101.0,0.0,202.0,0.0,157.0,0.0,8090.5,46.89053446296197,7766.5,46.89053446296197,0.218034710488757,0.0
15958,101.0,0.0,202.0,0.0,158.0,0.0,8114.6,47.3079744276211,7843.4,47.3079744276211,0.21596473053345017,0.0
16059,101.0,0.0,202.0,0.0,159.0,0.0,8137.5,45.93292210749641,7921.5,45.93292210749641,0.21391534722283462,0.0
16160,101.0,0.0,202.0,0.0,160.0,0.0,8157.6,45.6659367338254,8002.4,45.6659367338254,0.2118863556168713,0.0
16261,101.0,0.0,202.0,0.0,161.0,0.0,8178.8,44.86225832726455,8082.2,44.86225832726458,0.20987755281470882,0.0
16362,101.0,0.0,202.0,0.0,162.0,0.0,8202.5,44.67226333096531,8159.5,44.67226333096531,0.207888737934393,0.0
16463,101.0,0.0,202.0,0.0,163.0,0.0,8224.8,47.05505050234038,8238.2,47.05505050234038,0.20591971209277854,0.0
