iteration,successes,reward_episode,episode_count,random_act,timestep
101,36109,101,377,29001,7108
108,36217,108,378,29087,7130
101,36318,101,379,29165,7153
101,36419,101,380,29246,7173
101,36520,101,381,29314,7206
54,36574,54,382,29360,7214
72,36646,72,383,29422,7224
101,36747,101,384,29505,7242
101,36848,101,385,29587,7261
41,36889,41,386,29622,7267
101,36990,101,387,29705,7285
101,37091,101,388,29790,7301
101,37192,101,389,29869,7323
101,37293,101,390,29945,7348
101,37394,101,391,30027,7367
51,37445,51,392,30073,7372
101,37546,101,393,30148,7398
101,37647,101,394,30228,7419
101,37748,101,395,30303,7445
101,37849,101,396,30382,7467
101,37950,101,397,30464,7486
88,38038,88,398,30537,7501
101,38139,101,399,30616,7523
101,38240,101,400,30702,7538
101,38341,101,401,30783,7558
101,38442,101,402,30867,7575
101,38543,101,403,30948,7595
101,38644,101,404,31027,7617
101,38745,101,405,31111,7634
101,38846,101,406,31190,7656
101,38947,101,407,31267,7680
101,39048,101,408,31343,7705
101,39149,101,409,31421,7728
101,39250,101,410,31502,7748
101,39351,101,411,31584,7767
102,39453,102,412,31665,7788
101,39554,101,413,31747,7807
101,39655,101,414,31835,7820
97,39752,97,415,31918,7834
101,39853,101,416,31997,7856
101,39954,101,417,32078,7876
101,40055,101,418,32160,7895
101,40156,101,419,32239,7917
101,40257,101,420,32323,7934
101,40358,101,421,32399,7959
101,40459,101,422,32478,7981
101,40560,101,423,32554,8006
101,40661,101,424,32638,8023
101,40762,101,425,32721,8041
101,40863,101,426,32796,8067
101,40964,101,427,32870,8094
102,41066,102,428,32946,8120
101,41167,101,429,33027,8140
118,41285,118,430,33123,8162
101,41386,101,431,33204,8182
101,41487,101,432,33289,8198
101,41588,101,433,33369,8219
101,41689,101,434,33448,8241
101,41790,101,435,33530,8260
101,41891,101,436,33600,8291
101,41992,101,437,33679,8313
101,42093,101,438,33767,8326
101,42194,101,439,33846,8348
46,42240,46,440,33887,8353
101,42341,101,441,33968,8373
59,42400,59,442,34019,8381
109,42509,109,443,34109,8400
101,42610,101,444,34191,8419
101,42711,101,445,34270,8441
53,42764,53,446,34313,8451
101,42865,101,447,34397,8468
113,42978,113,448,34487,8491
46,43024,46,449,34518,8506
101,43125,101,450,34600,8525
101,43226,101,451,34675,8551
101,43327,101,452,34757,8570
32,43359,32,453,34788,8571
103,43462,103,454,34878,8584
107,43569,107,455,34968,8601
101,43670,101,456,35045,8625
53,43723,53,457,35089,8634
101,43824,101,458,35170,8654
101,43925,101,459,35247,8678
102,44027,102,460,35329,8698
101,44128,101,461,35404,8724
101,44229,101,462,35484,8745
101,44330,101,463,35565,8765
101,44431,101,464,35654,8777
101,44532,101,465,35736,8796
101,44633,101,466,35816,8817
101,44734,101,467,35898,8836
101,44835,101,468,35977,8858
101,44936,101,469,36059,8877
101,45037,101,470,36140,8897
101,45138,101,471,36223,8915
101,45239,101,472,36308,8931
101,45340,101,473,36390,8950
69,45409,69,474,36448,8961
107,45516,107,475,36535,8981
101,45617,101,476,36614,9003
101,45718,101,477,36693,9025
32,45750,32,478,36721,9029
101,45851,101,479,36805,9046
101,45952,101,480,36888,9064
108,46060,108,481,36976,9084
103,46163,103,482,37063,9100
101,46264,101,483,37144,9120
101,46365,101,484,37221,9144
107,46472,107,485,37311,9161
101,46573,101,486,37397,9176
101,46674,101,487,37485,9189
110,46784,110,488,37575,9209
101,46885,101,489,37653,9232
101,46986,101,490,37731,9255
101,47087,101,491,37812,9275
101,47188,101,492,37897,9291
101,47289,101,493,37973,9316
101,47390,101,494,38050,9340
101,47491,101,495,38128,9363
48,47539,48,496,38169,9370
101,47640,101,497,38257,9383
99,47739,99,498,38339,9400
101,47840,101,499,38419,9421
101,47941,101,500,38499,9442
101,48042,101,501,38576,9466
101,48143,101,502,38656,9487
32,48175,32,503,38684,9491
101,48276,101,504,38772,9504
101,48377,101,505,38857,9520
101,48478,101,506,38936,9542
110,48588,110,507,39030,9558
101,48689,101,508,39117,9572
101,48790,101,509,39199,9591
32,48822,32,510,39225,9597
101,48923,101,511,39306,9617
101,49024,101,512,39386,9638
101,49125,101,513,39470,9655
101,49226,101,514,39545,9681
34,49260,34,515,39574,9686
101,49361,101,516,39652,9709
101,49462,101,517,39739,9723
32,49494,32,518,39766,9728
36,49530,36,519,39798,9732
101,49631,101,520,39879,9752
101,49732,101,521,39960,9772
110,49842,110,522,40048,9794
106,49948,106,523,40140,9808
101,50049,101,524,40221,9828
101,50150,101,525,40295,9855
101,50251,101,526,40372,9879
101,50352,101,527,40456,9896
101,50453,101,528,40536,9917
101,50554,101,529,40622,9932
101,50655,101,530,40700,9955
101,50756,101,531,40785,9971
101,50857,101,532,40865,9992
101,50958,101,533,40941,10017
101,51059,101,534,41013,10046
101,51160,101,535,41094,10066
101,51261,101,536,41173,10088
101,51362,101,537,41255,10107
117,51479,117,538,41354,10125
101,51580,101,539,41429,10151
101,51681,101,540,41516,10165
101,51782,101,541,41600,10182
101,51883,101,542,41680,10203
101,51984,101,543,41755,10229
114,52098,114,544,41844,10254
104,52202,104,545,41925,10277
101,52303,101,546,42001,10302
106,52409,106,547,42094,10315
115,52524,115,548,42188,10336
32,52556,32,549,42216,10340
101,52657,101,550,42301,10356
101,52758,101,551,42380,10378
106,52864,106,552,42466,10398
101,52965,101,553,42549,10416
101,53066,101,554,42628,10438
101,53167,101,555,42708,10459
32,53199,32,556,42736,10463
101,53300,101,557,42814,10486
101,53401,101,558,42891,10510
101,53502,101,559,42969,10533
101,53603,101,560,43051,10552
101,53704,101,561,43131,10573
101,53805,101,562,43217,10588
101,53906,101,563,43296,10610
101,54007,101,564,43370,10637
85,54092,85,565,43444,10648
32,54124,32,566,43471,10653
60,54184,60,567,43519,10665
101,54285,101,568,43605,10680
101,54386,101,569,43681,10705
101,54487,101,570,43761,10726
50,54537,50,571,43804,10733
101,54638,101,572,43875,10763
101,54739,101,573,43955,10784
101,54840,101,574,44038,10802
32,54872,32,575,44065,10807
101,54973,101,576,44145,10828
101,55074,101,577,44226,10848
101,55175,101,578,44305,10870
101,55276,101,579,44388,10888
101,55377,101,580,44465,10912
70,55447,70,581,44527,10920
46,55493,46,582,44567,10926
101,55594,101,583,44654,10940
101,55695,101,584,44738,10957
101,55796,101,585,44815,10981
101,55897,101,586,44894,11003
101,55998,101,587,44973,11025
32,56030,32,588,45003,11027
101,56131,101,589,45085,11046
101,56232,101,590,45160,11072
