iteration,successes,reward_episode,episode_count,random_act,timestep,epsilon
101,18887,202,187,8694,10193,0.16411590406431734
101,18988,202,188,8709,10279,0.1625824251969801
101,19089,202,189,8724,10365,0.16106420469931504
101,19190,202,190,8748,10442,0.15956109074800714
101,19291,202,191,8765,10526,0.1580729330304087
101,19392,202,192,8779,10613,0.15659958272950783
101,19493,202,193,8798,10695,0.15514089250904667
101,19594,202,194,8816,10778,0.1536967164987875
101,19695,202,195,8832,10863,0.1522669102799259
101,19796,202,196,8843,10953,0.15085133087064845
101,19897,202,197,8853,11044,0.14944983671183457
101,19998,202,198,8866,11132,0.14806228765290044
101,20099,202,199,8881,11218,0.1466885449377839
101,20200,202,200,8892,11308,0.14532847119106862
101,20301,202,201,8908,11393,0.1439819304042466
101,20402,202,202,8925,11477,0.14264878792211688
101,20503,202,203,8944,11559,0.1413289104293205
101,20604,202,204,8967,11637,0.14002216593700811
101,20705,202,205,8987,11718,0.13872842376964165
101,20806,202,206,9002,11804,0.1374475545519262
101,20907,202,207,9020,11887,0.13617943019587256
101,21008,202,208,9027,11981,0.13492392388798838
101,21109,202,209,9040,12069,0.13368091007659658
101,21210,202,210,9056,12154,0.1324502644592803
101,21311,202,211,9076,12235,0.13123186397045208
101,21412,202,212,9090,12322,0.13002558676904785
101,21513,202,213,9104,12409,0.12883131222634217
101,21614,202,214,9112,12502,0.12764892091388555
101,21715,202,215,9129,12586,0.1264782945915614
101,21816,202,216,9139,12677,0.125319316195762
101,21917,202,217,9158,12759,0.12417186982768189
101,22018,202,218,9168,12850,0.12303584074172813
101,22119,202,219,9175,12944,0.12191111533404535
101,22220,202,220,9182,13038,0.12079758113115559
101,22321,202,221,9198,13123,0.11969512677871053
101,22422,202,222,9218,13204,0.11860364203035628
101,22523,202,223,9229,13294,0.11752301773670837
101,22624,202,224,9245,13379,0.116453145834437
101,22725,202,225,9253,13472,0.11539391933546027
101,22826,202,226,9264,13562,0.11434523231624569
101,22927,202,227,9275,13652,0.11330697990721733
101,23028,202,228,9289,13739,0.1122790582822692
101,23129,202,229,9298,13831,0.11126136464838206
101,23230,202,230,9310,13920,0.11025379723534455
101,23331,202,231,9321,14010,0.10925625528557566
101,23432,202,232,9334,14098,0.1082686390440492
101,23533,202,233,9346,14187,0.10729084974831793
101,23634,202,234,9353,14281,0.10632278961863742
101,23735,202,235,9360,14375,0.10536436184818809
101,23836,202,236,9369,14467,0.10441547059339411
101,23937,202,237,9378,14559,0.10347602096433932
101,24038,202,238,9389,14649,0.10254591901527788
101,24139,202,239,9396,14743,0.10162507173523985
101,24240,202,240,9408,14832,0.10071338703872978
101,24341,202,241,9419,14922,0.09981077375651838
101,24442,202,242,9431,15011,0.09891714162652515
101,24543,202,243,9444,15099,0.09803240128479247
101,24644,202,244,9452,15192,0.09715646425654882
101,24745,202,245,9464,15281,0.09628924294736148
101,24846,202,246,9476,15370,0.09543065063437678
101,24947,202,247,9488,15459,0.09458060145764802
101,25048,202,248,9500,15548,0.09373901041154904
101,25149,202,249,9507,15642,0.092905793336274
101,25250,202,250,9524,15726,0.09208086690942092
101,25351,202,251,9535,15816,0.0912641486376598
101,25452,202,252,9546,15906,0.09045555684848275
101,25553,202,253,9551,16002,0.08965501068203711
101,25654,202,254,9568,16086,0.08886243008303903
101,25755,202,255,9576,16179,0.08807773579276819
101,25856,202,256,9586,16270,0.08730084934114159
101,25957,202,257,9592,16365,0.08653169303886674
101,26058,202,258,9605,16453,0.0857701899696724
101,26159,202,259,9611,16548,0.08501626398261702
101,26260,202,260,9616,16644,0.0842698396844737
101,26361,202,261,9623,16738,0.08353084243219053
101,26462,202,262,9630,16832,0.08279919832542652
101,26563,202,263,9639,16924,0.08207483419916123
101,26664,202,264,9648,17016,0.08135767761637844
101,26765,202,265,9658,17107,0.08064765686082219
101,26866,202,266,9668,17198,0.0799447009298253
101,26967,202,267,9682,17285,0.0792487395272088
101,27068,202,268,9688,17380,0.07855970305625253
101,27169,202,269,9693,17476,0.07787752261273513
101,27270,202,270,9698,17572,0.07720212997804382
101,27371,202,271,9707,17664,0.07653345761235225
101,27472,202,272,9714,17758,0.07587143864786668
101,27573,202,273,9721,17852,0.07521600688213892
101,27674,202,274,9723,17951,0.07456709677144624
101,27775,202,275,9728,18047,0.07392464342423678
101,27876,202,276,9738,18138,0.0732885825946405
101,27977,202,277,9751,18226,0.07265885067604429
101,28078,202,278,9760,18318,0.07203538469473161
101,28179,202,279,9768,18411,0.0714181223035847
101,28280,202,280,9778,18502,0.07080700177585013
101,28381,202,281,9782,18599,0.07020196199896576
101,28482,202,282,9786,18696,0.06960294246844981
101,28583,202,283,9792,18791,0.06900988328184997
101,28684,202,284,9797,18887,0.06842272513275337
101,28785,202,285,9804,18981,0.06784140930485581
101,28886,202,286,9810,19076,0.06726587766609007
101,28987,202,287,9816,19171,0.06669607266281269
101,29088,202,288,9823,19265,0.06613193731404843
101,29189,202,289,9834,19355,0.06557341520579238
101,29290,202,290,9846,19444,0.06502045048536823
101,29391,202,291,9851,19540,0.06447298785584316
101,29492,202,292,9859,19633,0.06393097257049796
101,29593,202,293,9867,19726,0.06339435042735246
101,29694,202,294,9871,19823,0.06286306776374512
101,29795,202,295,9878,19917,0.06233707145096687
101,29896,202,296,9885,20011,0.06181630888894806
101,29997,202,297,9892,20105,0.061300728000998575
101,30098,202,298,9898,20200,0.06079027722859992
101,30199,202,299,9901,20298,0.060284905526249516
101,30300,202,300,9911,20389,0.05978456235635595
101,30401,202,301,9916,20485,0.05928919768418531
101,30502,202,302,9924,20578,0.05879876197285753
101,30603,202,303,9929,20674,0.058313206178392835
101,30704,202,304,9934,20770,0.05783248174480709
101,30805,202,305,9939,20866,0.057356540599256385
101,30906,202,306,9945,20961,0.0568853351472295
101,31007,202,307,9955,21052,0.0564188182677886
101,31108,202,308,9963,21145,0.05595694330885694
101,31209,202,309,9970,21239,0.05549966408255377
101,31310,202,310,9978,21332,0.05504693486057535
101,31411,202,311,9984,21427,0.05459871036962222
101,31512,202,312,9990,21522,0.05415494578687179
101,31613,202,313,9993,21620,0.05371559673549593
101,31714,202,314,9999,21715,0.053280619280223436
101,31815,202,315,10003,21812,0.05284996992294624
101,31916,202,316,10009,21907,0.05242360559836979
101,32017,202,317,10018,21999,0.05200148366970627
101,32118,202,318,10024,22094,0.051583561924411096
101,32219,202,319,10031,22188,0.05116979856996143
101,32320,202,320,10036,22284,0.050760152229677065
