iteration,successes,reward_episode,episode_count,random_act,timestep
101,40465,101,425,32483,7982
101,40566,101,426,32560,8006
101,40667,101,427,32643,8024
101,40768,101,428,32726,8042
101,40869,101,429,32801,8068
101,40970,101,430,32875,8095
101,41071,101,431,32951,8120
101,41172,101,432,33032,8140
115,41287,115,433,33125,8162
104,41391,104,434,33208,8183
101,41492,101,435,33293,8199
101,41593,101,436,33372,8221
101,41694,101,437,33451,8243
101,41795,101,438,33534,8261
101,41896,101,439,33603,8293
101,41997,101,440,33683,8314
101,42098,101,441,33769,8329
101,42199,101,442,33851,8348
38,42237,38,443,33884,8353
101,42338,101,444,33965,8373
63,42401,63,445,34020,8381
105,42506,105,446,34107,8399
101,42607,101,447,34188,8419
101,42708,101,448,34269,8439
58,42766,58,449,34315,8451
101,42867,101,450,34399,8468
137,43004,137,451,34503,8501
109,43113,109,452,34590,8523
101,43214,101,453,34666,8548
101,43315,101,454,34747,8568
36,43351,36,455,34780,8571
101,43452,101,456,34868,8584
101,43553,101,457,34954,8599
101,43654,101,458,35031,8623
39,43693,39,459,35064,8629
112,43805,112,460,35156,8649
101,43906,101,461,35233,8673
101,44007,101,462,35313,8694
101,44108,101,463,35390,8718
101,44209,101,464,35468,8741
101,44310,101,465,35546,8764
101,44411,101,466,35637,8774
101,44512,101,467,35718,8794
101,44613,101,468,35805,8808
101,44714,101,469,35880,8834
32,44746,32,470,35908,8838
101,44847,101,471,35987,8860
101,44948,101,472,36070,8878
101,45049,101,473,36149,8900
101,45150,101,474,36232,8918
101,45251,101,475,36317,8934
101,45352,101,476,36402,8950
101,45453,101,477,36482,8971
101,45554,101,478,36565,8989
101,45655,101,479,36645,9010
101,45756,101,480,36727,9029
101,45857,101,481,36810,9047
101,45958,101,482,36893,9065
106,46064,106,483,36979,9085
105,46169,105,484,37069,9100
101,46270,101,485,37149,9121
101,46371,101,486,37226,9145
101,46472,101,487,37311,9161
101,46573,101,488,37397,9176
101,46674,101,489,37485,9189
117,46791,117,490,37579,9212
101,46892,101,491,37657,9235
101,46993,101,492,37736,9257
101,47094,101,493,37818,9276
101,47195,101,494,37903,9292
101,47296,101,495,37978,9318
101,47397,101,496,38056,9341
101,47498,101,497,38135,9363
41,47539,41,498,38169,9370
105,47644,105,499,38261,9383
96,47740,96,500,38340,9400
101,47841,101,501,38420,9421
101,47942,101,502,38500,9442
101,48043,101,503,38577,9466
101,48144,101,504,38657,9487
32,48176,32,505,38685,9491
